name,count
0xf7463e7335033586683ac1f3df3080a0b38babe9,0.0444
0x3fda8e9123e758ea83f04892c9bc50937af1defc,0.045
0x4347e44d5ddf158d692ff86ea7df813ad799a990,1.0
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0.987
0x30f8d4bbcf67d93a5a97629f1bd7375fe7663d4e,0.1
0x0481687a3ee71df3dc804ab348f0768aa8b94338,1.1
0xa34c03519dea8306326a938993f882cedd837902,0.05
0xdca51787f58c18fb8f613a27b84b108324ac4c52,0.133
0x50f620a98f0514f5ca9ff7b44125f632ee7ac84a,0.1
0xb7ca40beb56d3af5f2ec84ce0f5f815b35528e4b,0.2
0xd417e34ea40816acfb1821e864620671bc2d1e2d,1.042
0x31a974839911e593ced3ac9402baa12edef9172e,0.04
0xbc2a432a01a64b5bdc9360c22b6603c60e96c867,0.0125
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0.0203
0xf7ca98164d536f1ce7f52be37c7a6517e782edc0,0.01004
0xf591479a9f5af28b68b7bfec43de69ca4a5c7757,4.840121032606751
0xd161f7fa342dcefeafdeb0827b83a400f57ad0a4,1.0
0xdc5226d99636d586d0f625f5fa0f6bd31c4f2b6e,0.02
0x65bdef0e45b652e86973c3408c7cd24dda9d844d,1.0
0x6103a9e1ccb543e7488283c11b220943c7f85cf5,0.1
0xff73fad89a35f7b8b394a94d2d7620cfada6c605,0.0158092
0x343f4c7b038a971736fb8786ebeb748eaa9cb98d,0.4
0x7a9b2f111a4f1a8064ed3fb2dd1478c41acbaa46,10.0
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0.095
0x2e487351c0035dbedc98ebd9200a55fcab8bf098,1.0
0x626333faf2d8543e8235341f1b16262d705c6cea,0.10971986
0xe2cf08867fe7b1bf770fbe7cffcc609fd5135855,0.02
0xe0b376e6282c327cbb7c2b2841d0b7b0595cad60,1.0
0x52c082172ffd26c6b9739820f9c43761648aa834,0.00879894
0xfae5d1580503c02b9b9437fffd79b713e1b4626d,0.0888
0xbc07b0e8fe8574d22bda52cc0a0e5b5a2fbeb4b7,0.05
0xb75e9c727fd8169fd8d6d69fa7c6523650b00c98,0.02122755
0xe343e47d821a9bce54f12237426a6ef391066b60,1.0
0xa59e113fbef3b4129baef6b5355dff683851afa7,0.3
0x61a94bd03562bef44093bd38b26f148b61aa7f01,0.4498546969328907
0x80c013d980ab049471c88e1603b8b4a60e03295c,0.4
0xb6bbb5028a413e40e28c5df1cbb0b9891f1ffeed,0.1
0x10dc1d2f35992b28c5160c2f9fc9582735298d78,0.16
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0.01139
0x436d8c4648be947707e0257e159941026a13b06d,0.06685296
0x23f6ce52eef00f76b7770bd88d39f2156662f6c6,1.0
0x3ce3581bd5acd38584b2e8d41abc4de6bcb2364f,0.020951277136361607
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,0.2175294
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0.92912887
0x5b0ce442972461700a4d8ef038bac1fedda6a5d6,0.04459149729329611
0xd78226d7dc276354d59faef59ba6f0e4304d47e7,2.2556357058109686
0x48888db73eb818dec38fed2c8d4d08252177de0d,0.1
0xb4d6df1c1559a943e802cecfc704c4847fd18da1,0.001
0x5f75fb6104ac8ce72879347db1041adf2f7745d6,0.15
0x1668c9725e27bf5943bbd43886e1fb5afe75c46c,0.271
0xbdd1f11346bbe039ef6b32b30edfba9164a1fbf1,0.046
0xaf4e1aa342f1c244c127b0470155a75fb22519d8,0.05
0xbdd1f11346bbe039ef6b32b30edfba9164a1fbf1,0.046
0xbdd1f11346bbe039ef6b32b30edfba9164a1fbf1,0.046
0x081638712f60ce6dbe4df246f3d66de3e8b9e196,1.0
0x11e4857bb9993a50c685a79afad4e6f65d518dda,0.0
0xd133aa670d45dfa98f33fde5c9c5bcf423896f1c,1.0
0x1668c9725e27bf5943bbd43886e1fb5afe75c46c,0.271
